Project_ID,EF_ID,EF_Title,Study_ID,PrimaryPublication_ID,PrimaryPublication_Title,PrimaryPublication_Author,PrimaryPublication_Country,PrimaryPublication_Year,PrimaryPublication_PMID,PrimaryPublication_Journal,PrimaryPublication_Volume,PrimaryPublication_Issue,PrimaryPublication_Trial_Title,PrimaryPublicationNumber_ID,PrimaryPublicationNumber_Number,PrimaryPublicationNumber_Number_Type,Section,Type,DataPoint_ID,Details_ID,Question,***VALUE,***Notes,Study_ID,EF_ID,***Subquestion,Row_Field_ID,Row_Text,Col_Field_ID,Col_text,Arm_ID,Outcome_ID
,,,,,,,,,16129742,,,,,,,,Arm,,,,,control,,7640,234,,,,,,,
,,,,,,,,,15686241,,,,,,,,Arm,,,,,DHS,,7641,234,,,,,,,
,,,,,,,,,15686241,,,,,,,,Arm,,,,,PFN,,7641,234,,,,,,,
,,,,,,,,,15686240,,,,,,,,Arm,,,,,standard Gamma nail (SGN),,7642,234,,,,,,,
,,,,,,,,,15686240,,,,,,,,Arm,,,,,Medoff sliding plate (MSP),,7642,234,,,,,,,
,,,,,,,,,14765872,,,,,,,,Arm,,,,,PFN,,7643,234,,,,,,,
,,,,,,,,,14765872,,,,,,,,Arm,,,,,Gamma nail,,7643,234,,,,,,,
,,,,,,,,,12579017,,,,,,,,Arm,,,,,"IMHS: ""Intramedullary Hip Screw statically locked with two screws (39 patients, Group A)""",,7644,234,,,,,,,
,,,,,,,,,12579017,,,,,,,,Arm,,,,,"IMHS with 1 dynamically locked screw distally: ""dynamically locked with one screw passing through a slot at the distal end of the nail (42 patients, Group B)",,7644,234,,,,,,,
,,,,,,,,,12151898,,,,,,,,Arm,,,,,Gamma Nail ,,7646,234,,,,,,,
,,,,,,,,,12151898,,,,,,,,Arm,,,,,Compression hip screw,,7646,234,,,,,,,
,,,,,,,,,12142826,,,,,,,,Arm,,,,,DHS,,7647,234,,,,,,,
,,,,,,,,,12142826,,,,,,,,Arm,,,,,intramedullary nail,,7647,234,,,,,,,
,,,,,,,,,11886906,,,,,,,,Arm,,,,,DCS,,7649,234,,,,,,,
,,,,,,,,,11886906,,,,,,,,Arm,,,,,PFN,,7649,234,,,,,,,
,,,,,,,,,11879828,,,,,,,,Arm,,,,,compression hip screw (CHS),,7650,234,,,,,,,
,,,,,,,,,11879828,,,,,,,,Arm,,,,,intramedullary hip screw (IMHS),,7650,234,,,,,,,
,,,,,,,,,1138013,,,,,,,,Arm,,,,,MSP Medoff sliding plate,,7654,234,,,,,,,
,,,,,,,,,1138013,,,,,,,,Arm,,,,,CHS compression hip screw,,7654,234,,,,,,,
,,,,,,,,,11372943,,,,,,,,Arm,,,,,standard extramedullary screw-plate systems,,7655,234,,,,,,,
,,,,,,,,,11372943,,,,,,,,Arm,,,,,Medoff sliding plate (MSP),,7655,234,,,,,,,
,,,,,,,,,9728307,,,,,,,,Arm,,,,,modified Gamma Asia-Pacific locking nail (GAPN),,7658,234,,,,,,,
,,,,,,,,,9728307,,,,,,,,Arm,,,,,"""compression hip screws- 135 degree""",,7658,234,,,,,,,
,,,,,,,,,9611022,,,,,,,,Arm,,,,,CHS-compression hip screw,,7659,234,,,,,,,
,,,,,,,,,9611022,,,,,,,,Arm,,,,,IMHS-intramedullary hip screw,,7659,234,,,,,,,
,,,,,,,,,9553538,,,,,,,,Arm,,,,,IMHS,,7660,234,,,,,,,
,,,,,,,,,9553538,,,,,,,,Arm,,,,,"""sliding hip screw"", ""compression hip screw"" all 21 cm length but diameter were 12-16mm. 37/67 IMHS's were locked distally: 25 with 2 distal screws and 12 with 1 screw",,7660,234,,,,,,,
,,,,,,,,,9553537,,,,,,,,Arm,,,,,DHS and a four-hole side plate,,7661,234,,,,,,,
,,,,,,,,,9553537,,,,,,,,Arm,,,,,Medoff sliding plate,,7661,234,,,,,,,
,,,,,,,,,8639131,,,,,,,,Arm,,,,,Ambi screw plate,,7662,234,,,,,,,
,,,,,,,,,8639131,,,,,,,,Arm,,,,,Gamma nail,,7662,234,,,,,,,
,,,,,,,,,8550169,,,,,,,,Arm,,,,,Gamma nail,,7663,234,,,,,,,
,,,,,,,,,8550169,,,,,,,,Arm,,,,,dynamic hip screw,,7663,234,,,,,,,
,,,,,,,,,7497366,,,,,,,,Arm,,,,,DHS,,7664,234,,,,,,,
,,,,,,,,,7497366,,,,,,,,Arm,,,,,Gamma nail,,7664,234,,,,,,,
,,,,,,,,,7562150,,,,,,,,Arm,,,,,"""compression hip screw"" CHS",,7665,234,,,,,,,
,,,,,,,,,7562150,,,,,,,,Arm,,,,,VDP,,7665,234,,,,,,,
,,,,,,,,,7996318,,,,,,,,Arm,,,,,Gamma nail,,7666,234,,,,,,,
,,,,,,,,,7996318,,,,,,,,Arm,,,,,compression hip screw,,7666,234,,,,,,,
,,,,,,,,,8197841,,,,,,,,Arm,,,,,Gamma nail,,7667,234,,,,,,,
,,,,,,,,,8197841,,,,,,,,Arm,,,,,Hipc Compression Screw (HCS),,7667,234,,,,,,,
,,,,,,,,,8154278,,,,,,,,Arm,,,,,key and a compressing screw of the lag screw,,7668,234,,,,,,,
,,,,,,,,,8154278,,,,,,,,Arm,,,,,no key and no compressing screw,,7668,234,,,,,,,
,,,,,,,,,8376441,,,,,,,,Arm,,,,,Dynamic hip screw,,7669,234,,,,,,,
,,,,,,,,,8376441,,,,,,,,Arm,,,,,Gamma nail,,7669,234,,,,,,,
,,,,,,,,,1587874,,,,,,,,Arm,,,,,Gamma nail,,7670,234,,,,,,,
,,,,,,,,,1587874,,,,,,,,Arm,,,,,Dynamic hip screw,,7670,234,,,,,,,
,,,,,,,,,2005167,,,,,,,,Arm,,,,,DHS,,7671,234,,,,,,,
,,,,,,,,,2005167,,,,,,,,Arm,,,,,Gamma nail,,7671,234,,,,,,,
